"projectID";"topic";"title"
"101114356";"HORIZON-EIE-2022-SCALEUP-02-01";"Expanding Investments Ecosystems"
"101070756";"HORIZON-EIE-2021-CONNECT-01-01";"Preparatory action for setting up joint programmes among innovation ecosystems actors"
"101051287";"HORIZON-INFRA-2021-ICRI-IBA";"International Conference on Research Infrastructures – ICRI 2022"
"101058507";"HORIZON-WIDERA-2021-ERA-01-70";"Developing a STE(A)M roadmap for Science Education in Horizon Europe"
"101100458";"HORIZON-EIE-2022-SCALEUP-01-01";"Expanding Entrepreneurial Ecosystems"
"101198044";"HORIZON-EURATOM-2024-SAPEA-IBA";"Science Advice for Policy by European Academies (SAPEA 3)"
"101073910";"HORIZON-CL3-2021-BM-01-03";"Improved border checks for travel facilitation across external borders and improved experiences for both passengers and border authorities’ staff"
"101134908";"HORIZON-EIE-2023-CONNECT-01-02";"Preparatory action for setting up joint programmes among innovation ecosystems actors"
"101070719";"HORIZON-EIE-2021-CONNECT-01-01";"Preparatory action for setting up joint programmes among innovation ecosystems actors"
"101131696";"HORIZON-WIDERA-2023-ERA-01-08";"Laying the groundwork towards Europe-wide citizen science campaigns"
"101058393";"HORIZON-WIDERA-2021-ERA-01-41";"Global cooperation on FAIR data policy and practice"
"101134885";"HORIZON-EIE-2023-CONNECT-01-02";"Preparatory action for setting up joint programmes among innovation ecosystems actors"
"101188210";"HORIZON-INFRA-2024-DEV-01-01";"Research infrastructure concept development"
"101193424";"HORIZON-EIE-2024-CONNECT-01-01";"The African Union-European Union Innovation Platform"
"101168322";"HORIZON-CL3-2023-DRS-01-03";"Operability and standardisation in response to biological toxin incidents"
"101094529";"HORIZON-WIDERA-2022-ERA-01-81";"Support to the implementation of inclusive gender equality plans"
"101071805";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101073472";"HORIZON-CL3-2021-SSRI-01-03";"National Contact Points (NCPs) in the field of security and cybersecurity"
"101072073";"HORIZON-EIE-2021-SCALEUP-01-01";"Expanding Acceleration Ecosystems "
"101168325";"HORIZON-CL3-2023-BM-01-03";"Beyond the state-of-the-art “biometrics on the move” for border checks"
"101161301";"HORIZON-EIE-2023-CONNECT-03-01";"Implementing co-funded action plans for connected regional innovation valleys"
"101070772";"HORIZON-EIE-2021-CONNECT-01-01";"Preparatory action for setting up joint programmes among innovation ecosystems actors"
"101168309";"HORIZON-CL3-2023-FCT-01-01";"Processing of large, complex and unstructured datasets resulting from criminal investigations, while reconciling big data analysis and data protection"
"101168355";"HORIZON-CL3-2023-DRS-01-05";"Robotics: Autonomous or semi-autonomous UGV systems to supplement skills for use in hazardous environments"
"101058398";"HORIZON-INFRA-2021-DEV-01-04";"Support to National Contact Points (NCPs) for Research Infrastructures"
"101118823";"HORIZON-EURATOM-2022-NCP-IBA";"Horizon Europe National Contact Point (NCP) Horizontal Support"
"101131556";"HORIZON-WIDERA-2023-ERA-01-05";"Exploitation and valorisation of results relevant for the ERA Policy Agenda"
"101129732";"HORIZON-INFRA-2023-DEV-01-02";"Early phase implementation of ESFRI Projects which entered the ESFRI Roadmap in 2018"
"101094406";"HORIZON-INFRA-2022-EOSC-01-04";"Support for initiatives helping to generate global standards, specifications and recommendations for open sharing of FAIR research data, publications and software"
"101161224";"HORIZON-EIE-2023-CONNECT-03-01";"Implementing co-funded action plans for connected regional innovation valleys"
"101124559";"HORIZON-INFRA-2023-ERIC-ART195-IBA";"Coordination and Monitoring of the European Research Infrastructure Consortia (ERICs)"
"101058475";"HORIZON-WIDERA-2021-ERA-01-20";"Towards a Europe-wide training and networking scheme for research managers"
"101166699";"HORIZON-EURATOM-2023-NRT-01-10";"Harnessing innovation in nuclear science, technology and radiation protection"
"101112710";"HORIZON-EIE-2022-CONNECT-02-01";"Implementing co-funded action plans for interconnection of innovation ecosystems"
"101157621";"HORIZON-EIE-2023-CONNECT-02-02";"Specialist Advisory Services to build capacities on innovation procurement"
"101058677";"HORIZON-WIDERA-2021-ERA-01-61";"Supporting and giving recognition to citizen science in the European Research Area"
"101070800";"HORIZON-EIE-2021-CONNECT-01-01";"Preparatory action for setting up joint programmes among innovation ecosystems actors"
"101070831";"HORIZON-EIE-2021-CONNECT-01-02";"Building capabilities in innovation procurement"
"101114215";"HORIZON-EIE-2022-SCALEUP-02-01";"Expanding Investments Ecosystems"
"101188026";"HORIZON-WIDERA-2024-ERA-01-07";"Capacity building on Intellectual Property (IP) management to support open science"
"101058092";"HORIZON-INFRA-2021-DEV-01-01";"Support to the European Strategy Forum on Research Infrastructures"
"101168489";"HORIZON-CL3-2023-BM-01-01";"Capabilities for border surveillance and situational awareness"
"101131725";"HORIZON-INFRA-2023-DEV-01-06";"Strengthen the bilateral cooperation on research infrastructures with Latin America"
"101130216";"HORIZON-INFRA-2023-DEV-01-07";"Strengthening the international dimension of ESFRI and/or ERIC research infrastructures"
"101130986";"HORIZON-INFRA-2023-DEV-01-03";"Consolidation of the RI landscape – Individual support for evolution and long-term sustainability of pan-European research infrastructures"
"101177314";"HORIZON-INFRA-2024-SESAME-IBA";"Strengthening the international dimension of ESFRI and/or ERIC research infrastructures – consolidating the SESAME facility"
"101060646";"HORIZON-EURATOM-2021-NRT-01-16";"Support for the Sustainable Nuclear Energy Technology Platform to address cross-sectoral challenges and non-power applications of ionising radiation"
"101121379";"HORIZON-CL3-2022-BM-01-03";"Better, more portable and quicker analysis and detection for customs"
"101130467";"HORIZON-WIDERA-2023-ERA-01-01";"Programme level collaboration between national R&I policy-makers"
"101158152";"HORIZON-EIE-2023-CONNECT-02-01";"Stimulating Experimentation Practices"
