"projectID";"topic";"title"
"802835";"ERC-2018-STG";"ERC Starting Grant"
"805344";"ERC-2018-STG";"ERC Starting Grant"
"804071";"ERC-2018-STG";"ERC Starting Grant"
"802605";"ERC-2018-STG";"ERC Starting Grant"
"804519";"ERC-2018-STG";"ERC Starting Grant"
"803048";"ERC-2018-STG";"ERC Starting Grant"
"804412";"ERC-2018-STG";"ERC Starting Grant"
"803589";"ERC-2018-STG";"ERC Starting Grant"
"801823";"ERC-2018-STG";"ERC Starting Grant"
"802648";"ERC-2018-STG";"ERC Starting Grant"
"804949";"ERC-2018-STG";"ERC Starting Grant"
"802512";"ERC-2018-STG";"ERC Starting Grant"
"805143";"ERC-2018-STG";"ERC Starting Grant"
"802629";"ERC-2018-STG";"ERC Starting Grant"
"804583";"ERC-2018-STG";"ERC Starting Grant"
"804029";"ERC-2018-STG";"ERC Starting Grant"
"801750";"ERC-2018-STG";"ERC Starting Grant"
"803608";"ERC-2018-STG";"ERC Starting Grant"
"803952";"ERC-2018-STG";"ERC Starting Grant"
"804474";"ERC-2018-STG";"ERC Starting Grant"
"802636";"ERC-2018-STG";"ERC Starting Grant"
"802653";"ERC-2018-STG";"ERC Starting Grant"
"802182";"ERC-2018-STG";"ERC Starting Grant"
"804154";"ERC-2018-STG";"ERC Starting Grant"
"805478";"ERC-2018-STG";"ERC Starting Grant"
"802130";"ERC-2018-STG";"ERC Starting Grant"
"804288";"ERC-2018-STG";"ERC Starting Grant"
"805359";"ERC-2018-STG";"ERC Starting Grant"
"805371";"ERC-2018-STG";"ERC Starting Grant"
"802929";"ERC-2018-STG";"ERC Starting Grant"
"802990";"ERC-2018-STG";"ERC Starting Grant"
"805223";"ERC-2018-STG";"ERC Starting Grant"
"801781";"ERC-2018-STG";"ERC Starting Grant"
"802525";"ERC-2018-STG";"ERC Starting Grant"
"803466";"ERC-2018-STG";"ERC Starting Grant"
"803189";"ERC-2018-STG";"ERC Starting Grant"
"803111";"ERC-2018-STG";"ERC Starting Grant"
"804166";"ERC-2018-STG";"ERC Starting Grant"
"804371";"ERC-2018-STG";"ERC Starting Grant"
"804068";"ERC-2018-STG";"ERC Starting Grant"
